ball_id,over_number,ball_number,bowler_name,batsman_name,outcome,runs_scored,dismissal_type,dismissal_fielder,bowler_type,line,length,variation,bowler_crease,swing_direction,bowling_speed_kmph,shot_type,footwork,contact_quality,edge_type,shot_direction,batsman_handedness,phase,raw_description
T20-IndvsEng-IndBat_i2_0_1,0,1,"DJ Willey","RG Sharma",1,1,none,,pace,outside_off,good,none,over_the_wicket,in_swing,130.0,drive,front_foot,clean,none,deep_point,right_handed,powerplay,"[cricsheet+gemini-tech] Willey bowls a good length delivery outside off, Sharma drives it to deep point for a single."
T20-IndvsEng-IndBat_i2_0_2,0,2,"DJ Willey","RR Pant",dot,0,none,,pace,outside_off,full,none,over_the_wicket,out_swing,,drive,front_foot,miss,none,none,left_handed,powerplay,"[cricsheet+gemini-tech] Willey bowls full outside off, Pant swings hard but misses."
T20-IndvsEng-IndBat_i2_0_3,0,3,"DJ Willey","RR Pant",dot,0,none,,pace,outside_off,good,none,over_the_wicket,out_swing,129.0,drive,front_foot,miss,none,none,left_handed,powerplay,"[cricsheet+gemini-tech] Willey bowls a good length delivery outside off, Pant tries to drive but misses."
T20-IndvsEng-IndBat_i2_0_4,0,4,"DJ Willey","RR Pant",dot,0,none,,pace,outside_off,good,none,over_the_wicket,out_swing,131.0,leave,front_foot,miss,none,none,left_handed,powerplay,"[cricsheet+gemini-tech] Willey bowls outside off, Pant leaves it alone."
T20-IndvsEng-IndBat_i2_0_5,0,5,"DJ Willey","RR Pant",1,1,none,,pace,middle,good,none,over_the_wicket,in_swing,,defend,front_foot,clean,none,cover,left_handed,powerplay,"[cricsheet+gemini-tech] Willey bowls on middle, Pant defends it towards cover for a quick single."
T20-IndvsEng-IndBat_i2_0_6,0,6,"DJ Willey","RG Sharma",dot,0,none,,pace,outside_off,good,none,over_the_wicket,in_swing,131.0,defend,front_foot,clean,none,cover,right_handed,powerplay,"[cricsheet+gemini-tech] Willey bowls outside off, Sharma defends it to the off side."
T20-IndvsEng-IndBat_i2_1_1,1,1,"RJW Topley","RR Pant",wicket,0,caught,"JC Buttler",pace,leg,short_of_length,none,over_the_wicket,none,135.0,pull,back_foot,edge,inside_edge,behind_wicket,left_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls short of a length on leg stump, Pant tries to pull but gets an inside edge to the keeper."
T20-IndvsEng-IndBat_i2_1_2,1,2,"RJW Topley","V Kohli",dot,0,none,,pace,outside_off,good,none,over_the_wicket,none,135.0,defend,front_foot,clean,none,cover,right_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls outside off, Kohli defends it solidly to cover."
T20-IndvsEng-IndBat_i2_1_3,1,3,"RJW Topley","V Kohli",1,1,none,,pace,middle,good,none,over_the_wicket,none,137.0,flick,front_foot,clean,none,square_leg,right_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls on middle, Kohli flicks it to square leg for a single."
T20-IndvsEng-IndBat_i2_1_4,1,4,"RJW Topley","RG Sharma",dot,0,none,,pace,outside_off,good,none,over_the_wicket,none,134.0,drive,front_foot,edge,inside_edge,behind_wicket,right_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls outside off, Sharma tries to drive but gets an inside edge onto his pads."
T20-IndvsEng-IndBat_i2_1_5,1,5,"RJW Topley","RG Sharma",dot,0,none,,pace,outside_off,good,none,over_the_wicket,none,137.0,drive,front_foot,mistimed,none,point,right_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls outside off, Sharma mistimes a drive off the splice of the bat towards point."
T20-IndvsEng-IndBat_i2_1_6,1,6,"RJW Topley","RG Sharma",dot,0,none,,pace,middle,good,none,over_the_wicket,none,133.0,flick,front_foot,clean,none,mid_wicket,right_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls on middle, Sharma flicks it towards mid-wicket."
