ball_id,innings,over_number,ball_number,bowler_name,batsman_name,outcome,runs_scored,dismissal_type,dismissal_fielder,bowler_type,line,length,variation,bowler_crease,swing_direction,movement,spin_direction,bowling_speed_kmph,ball_age_phase,shot_type,footwork,contact_quality,edge_type,shot_direction,batsman_handedness,phase,raw_description
T20-IndvsEng-IndBat_i1_0_1,1,0,1,Avesh Khan,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 0.1 Avesh Khan → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_0_2,1,0,2,Avesh Khan,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 0.2 Avesh Khan → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_0_3,1,0,3,Avesh Khan,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 0.3 Avesh Khan → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_0_4,1,0,4,Avesh Khan,JJ Roy,2,2,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 0.4 Avesh Khan → JJ Roy runs=2
T20-IndvsEng-IndBat_i1_0_5,1,0,5,Avesh Khan,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 0.5 Avesh Khan → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_0_6,1,0,6,Avesh Khan,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 0.6 Avesh Khan → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_1_1,1,1,1,Umran Malik,JC Buttler,4,4,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 1.1 Umran Malik → JC Buttler runs=4
T20-IndvsEng-IndBat_i1_1_2,1,1,2,Umran Malik,JC Buttler,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 1.2 Umran Malik → JC Buttler runs=0
T20-IndvsEng-IndBat_i1_1_3,1,1,3,Umran Malik,JC Buttler,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 1.3 Umran Malik → JC Buttler runs=1
T20-IndvsEng-IndBat_i1_1_4,1,1,4,Umran Malik,JJ Roy,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 1.4 Umran Malik → JJ Roy runs=1
